Date,name,book_to_market,book_to_market1,book_to_market2
2009,台泥,0.684931507,1.46,1.46
2009,統一,0.414937759,2.41,2.41
2009,台塑,0.510204082,1.96,1.96
2009,南亞,0.523560209,1.91,1.91
2009,台化,0.549450549,1.82,1.82
2009,中鋼,0.520833333,1.92,1.92
2009,和泰車,0.487804878,2.05,2.05
2009,聯電,0.917431193,1.09,1.09
2009,台達電,0.267379679,3.74,3.74
2009,鴻海,0.317460317,3.15,3.15
2009,國巨,1.123595506,0.89,0.89
2009,台積電,0.27700831,3.61,3.61
2009,華碩,0.628930818,1.59,1.59
2009,瑞昱,0.36900369,2.71,2.71
2009,廣達,0.36101083,2.77,2.77
2009,研華,0.330033003,3.03,3.03
2009,南亞科,0.184162063,5.43,5.43
2009,友達,0.793650794,1.26,1.26
2009,中華電,0.588235294,1.7,1.7
2009,聯發科,0.164744646,6.07,6.07
2009,長榮,1.041666667,0.96,0.96
2009,陽明,1.19047619,0.84,0.84
2009,萬海,0.704225352,1.42,1.42
2009,彰銀,0.840336134,1.19,1.19
2009,華南金,0.724637681,1.38,1.38
2009,富邦金,0.632911392,1.58,1.58
2009,國泰金,0.352112676,2.84,2.84
2009,開發金,1.149425287,0.87,0.87
2009,玉山金,1.052631579,0.95,0.95
2009,元大金,0.598802395,1.67,1.67
2009,兆豐金,0.934579439,1.07,1.07
2009,台新金,1.176470588,0.85,0.85
2009,中信金,0.806451613,1.24,1.24
2009,第一金,0.819672131,1.22,1.22
2009,統一超,0.229357798,4.36,4.36
2009,大立光,0.226244344,4.42,4.42
2009,聯詠,0.307692308,3.25,3.25
2009,欣興,0.420168067,2.38,2.38
2009,台灣大,0.204918033,4.88,4.88
2009,遠傳,0.558659218,1.79,1.79
2009,台塑化,0.280112045,3.57,3.57
2009,南電,0.434782609,2.3,2.3
2009,豐泰,0.552486188,1.81,1.81
2010,台泥,0.675675676,1.48,1.48
2010,統一,0.386100386,2.59,2.59
2010,台塑,0.406504065,2.46,2.46
2010,南亞,0.473933649,2.11,2.11
2010,台化,0.440528634,2.27,2.27
2010,亞德客-KY,0.129366106,7.73,7.73
2010,中鋼,0.578034682,1.73,1.73
2010,和泰車,0.473933649,2.11,2.11
2010,聯電,1.020408163,0.98,0.98
2010,台達電,0.225225225,4.44,4.44
2010,鴻海,0.421940928,2.37,2.37
2010,國巨,1.030927835,0.97,0.97
2010,台積電,0.29154519,3.43,3.43
2010,華碩,0.584795322,1.71,1.71
2010,瑞昱,0.505050505,1.98,1.98
2010,廣達,0.462962963,2.16,2.16
2010,研華,0.306748466,3.26,3.26
2010,南亞科,0.5,2,2
2010,友達,1.052631579,0.95,0.95
2010,中華電,0.518134715,1.93,1.93
2010,聯發科,0.241545894,4.14,4.14
2010,長榮,0.694444444,1.44,1.44
2010,陽明,0.571428571,1.75,1.75
2010,萬海,0.578034682,1.73,1.73
2010,彰銀,0.518134715,1.93,1.93
2010,華南金,0.609756098,1.64,1.64
