,name,book_to_market,,Date
,台泥,1.28,,2009
,統一,2.09,,2009
,台塑,1.94,,2009
,南亞,1.96,,2009
,台化,1.81,,2009
,中鋼,1.89,,2009
,和泰車,1.86,,2009
,聯電,1.02,,2009
,台達電,3.63,,2009
,鴻海,2.8,,2009
,國巨,0.84,,2009
,台積電,3.44,,2009
,華碩,1.59,,2009
,瑞昱,2.52,,2009
,廣達,2.55,,2009
,研華,2.74,,2009
,南亞科,4.37,,2009
,友達,1.17,,2009
,中華電,1.66,,2009
,聯發科,5.66,,2009
,長榮,1,,2009
,陽明,0.8,,2009
,萬海,1.33,,2009
,彰銀,1.13,,2009
,華南金,1.27,,2009
,富邦金,1.5,,2009
,國泰金,2.58,,2009
,開發金,0.79,,2009
,玉山金,0.86,,2009
,元大金,1.45,,2009
,兆豐金,1,,2009
,台新金,0.87,,2009
,中信金,1.09,,2009
,第一金,1.1,,2009
,統一超,4.21,,2009
,大立光,4.38,,2009
,聯詠,2.87,,2009
,欣興,2.01,,2009
,台灣大,4.84,,2009
,遠傳,1.83,,2009
,台塑化,3.49,,2009
,南電,2.54,,2009
,豐泰,1.71,,2009
,台泥,1.27,,2010
,統一,2.17,,2010
,台塑,2.02,,2010
,南亞,2.08,,2010
,台化,1.9,,2010
,中鋼,1.88,,2010
,和泰車,1.74,,2010
,聯電,0.98,,2010
,台達電,3.5,,2010
,鴻海,2.64,,2010
,國巨,0.83,,2010
,台積電,3.29,,2010
,華碩,1.45,,2010
,瑞昱,2.41,,2010
,廣達,2.62,,2010
,研華,2.74,,2010
,南亞科,3.98,,2010
,友達,1.08,,2010
,中華電,1.55,,2010
,聯發科,5.49,,2010
,長榮,1.03,,2010
,陽明,0.78,,2010
,萬海,1.35,,2010
,彰銀,1.11,,2010
,華南金,1.36,,2010
,富邦金,1.43,,2010
,國泰金,2.46,,2010
,開發金,0.77,,2010
,玉山金,0.85,,2010
,元大金,1.3,,2010
,兆豐金,1.02,,2010
,台新金,0.68,,2010
,中信金,1.08,,2010
,第一金,1.06,,2010
,統一超,4.32,,2010
,大立光,4.34,,2010
,聯詠,2.75,,2010
,欣興,1.84,,2010
,台灣大,4.7,,2010
,遠傳,1.8,,2010
,台塑化,3.52,,2010
,南電,2.36,,2010
,豐泰,1.68,,2010
,台泥,1.28,,2010
,統一,2.21,,2011
,台塑,2.04,,2011
,南亞,2.12,,2011
,台化,1.94,,2011
,中鋼,1.91,,2011
,和泰車,1.87,,2011
,聯電,1.07,,2011
,台達電,3.97,,2011
,鴻海,2.86,,2011
,國巨,0.94,,2011
,台積電,3.44,,2011
,華碩,1.42,,2011
,瑞昱,2.46,,2011
,廣達,2.47,,2011
,研華,2.86,,2011
,南亞科,5.07,,2011
,友達,1.18,,2011
,中華電,1.61,,2011
,聯發科,5.99,,2011
