Date,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明,萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
2010/01,98271,133291,407652,471138,394350,425572,38178,208456,714324,1153866,24473,1593068,263300,41876,242644,33549,89968,316450,619723,566861,56658,29468,33803,89727,116351,304289,524162,99609,43834,165283,191328,73377,164228,113107,76412,55936,56174,60426,235277,126430,766840,85419,13582
2010/02,97448,138747,423567,498621,412559,421643,35775,200663,664971,1089524,24143,1523128,240368,40064,249373,33497,81585,291292,579869,550510,58802,28956,34331,87864,125446,288882,499984,97926,43468,147458,196305,57497,163289,109000,78387,55467,53792,55474,228436,124475,773508,79430,13336
2010/03,98601,140891,428463,508829,422802,430155,38287,218846,636398,1179603,27216,1593082,234847,40875,234671,34994,103893,318656,602172,600655,57271,30493,37711,89416,121996,314109,512556,100955,46938,154345,203493,68677,168920,110264,82338,64052,58985,63057,227295,123823,797323,79430,14807
2010/04,93169,136604,428463,519822,452393,438666,48064,207807,654581,1273971,33142,1600930,259053,40875,226276,36491,94875,323070,596354,582166,61711,33056,41303,87864,116038,313382,488379,99272,51139,152725,203493,64951,167043,109632,93566,69753,64645,73579,228816,124638,788749,83213,16720
2010/05,90041,129394,395410,415387,409145,400038,42602,196117,702635,1068077,31057,1559482,205119,36964,222078,34942,90604,277611,600232,570174,55892,33568,37500,79481,112588,298730,458883,92318,46756,137736,187457,60692,156251,105209,95125,71094,55410,73811,232617,124963,740167,85419,14955
2010/06,89876,138747,416221,405964,421664,390217,42657,186377,745495,977998,28753,1569844,152565,33911,224202,34116,86659,254219,619626,493318,62630,42153,42042,91590,116351,293847,464686,97253,48034,140572,191328,66548,166574,112792,98868,69216,51895,73347,249721,129362,742072,82897,14783
2010/07,98107,148296,409488,442870,396626,410572,43640,184428,787056,1106682,31387,1616485,153839,34865,222289,35458,74312,267901,658413,476794,72959,53171,45634,104940,125132,320139,487412,103198,54244,145028,211788,76131,180181,119110,109160,82094,50465,82477,240218,145329,708731,82582,15020
2010/08,96955,158839,434584,485272,405162,409895,48009,168843,768873,1091721,27546,1525922,136003,30725,186271,37471,62825,244068,635141,480101,65416,48687,43310,113012,124405,319625,468119,99308,54577,147458,214000,77414,179132,119821,123195,77533,45522,78453,239458,135228,684916,64303,15176
2010/09,109959,173844,469473,537097,429631,436951,48828,179883,785757,1135197,29613,1606255,140452,35045,194325,42426,72609,285996,678777,482870,68033,51377,45950,129778,134331,329069,484874,102592,61613,153940,232248,82732,196597,134070,139829,79813,52731,84798,245160,142559,766840,75540,16527
2010/10,107325,170628,537415,535527,499623,420041,48610,188974,748092,1120705,28732,1627024,155813,35239,215426,43149,62998,269666,694291,423477,78584,59705,47535,125431,133669,321000,475735,102932,59902,155966,235013,79186,190609,130832,126314,81423,53176,80620,258843,143537,793512,78037,16527
