年月,報酬指數,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明, 萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金, 兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
10-Jan,9800.44,11.07,15.19,35.45,32.63,36.81,17.63,44.92,9.12,61.93,55.77,22.43,40.4,103.51,48.35,30.19,29.66,165.05,24.06,41.32,293.14,26.97,16.11,7.22,6.51,6.82,16.92,26.53,4.74,3.47,10.18,8.38,4.67,6.27,6.67,47.55,318.02,41.24,27.33,34.8,20.32,52.39,99.76,9.66
10-Feb,9538.32,10.97,15.81,36.84,34.53,38.51,17.47,42.09,8.78,59.69,52.66,22.13,38.63,94.49,46.26,30.95,29.62,149.65,22.15,39.28,284.69,28,15.83,7.33,6.37,7.35,16.06,25.31,4.66,3.44,9.09,8.6,3.66,6.24,6.43,48.78,315.35,39.49,25.09,33.78,20.01,52.85,92.76,9.49
10-Mar,10159.11,11.1,16.06,37.26,35.24,39.46,17.82,45.05,9.58,64.16,57.01,24.95,40.4,92.32,47.19,29.1,30.94,190.52,24.23,40.79,310.62,27.27,16.67,8.05,6.48,7.15,17.46,25.94,4.8,3.72,9.51,8.91,4.37,6.45,6.5,51.23,364.15,43.29,28.52,33.62,19.9,54.47,92.76,10.54
10-Apr,10267.1,10.49,15.57,37.26,36,42.23,18.18,56.55,9.09,66.71,61.57,30.38,40.6,101.84,47.19,28.02,32.27,173.86,24.56,40.4,301.04,29.38,18.07,8.82,6.37,6.8,17.42,24.72,4.72,4.05,9.41,8.91,4.13,6.38,6.47,58.22,396.57,47.44,33.27,33.84,20.03,53.89,97.18,11.9
10-May,9459.76,10.14,14.75,34.39,28.76,38.19,16.58,50.13,8.58,64.16,51.62,28.47,39.55,84.14,42.68,27.5,30.9,166,21.11,40.66,294.84,26.61,18.35,8.01,5.76,6.6,16.6,23.23,4.39,3.71,8.49,8.21,3.86,5.97,6.2,59.19,404.19,40.67,33.38,34.4,20.09,50.57,99.76,10.64
10-Jun,9407.98,10.12,15.81,36.2,28.11,39.36,16.17,50.19,8.16,66.08,47.27,26.36,39.81,85.8,39.15,27.64,31.95,158.77,19.33,41.97,255.09,29.82,23.04,8.98,6.64,6.82,16.33,23.52,4.63,3.81,8.66,8.38,4.24,6.36,6.65,61.52,393.52,38.09,33.17,36.93,20.79,50.7,96.81,10.52
10-Jul,10204.08,11.78,16.9,37.7,31.75,39.33,17.57,53.95,8.35,73.22,53.49,28.77,43.1,86.51,40.25,29.1,33.21,136.13,20.37,44.6,258.81,34.7,29.06,9.75,7.75,7.34,17.78,24.93,4.91,4.3,9.4,9.27,4.85,7.12,7.02,67.92,466.73,39.21,37.3,38.39,23.36,50.82,100.03,11.33
10-Aug,10117.87,11.64,18.48,40.01,34.78,40.18,17.54,59.35,7.65,80.51,53.28,25.25,40.68,76.48,37.16,24.38,35.1,115.07,18.56,45.77,260.6,30.98,26.61,9.25,8.35,7.37,18.65,23.94,4.99,4.38,9.55,9.85,4.93,7.08,7.25,79.34,448.11,35.36,36.38,38.27,23.17,49.11,78.65,11.45
10-Sep,10951.4,13.21,20.23,43.23,38.5,42.6,18.7,60.36,8.15,86.47,55.4,27.06,42.82,80.24,42.38,25.43,39.74,132.99,21.74,48.91,262.09,32.22,28.08,9.81,9.59,7.95,19.2,24.8,5.15,4.94,9.97,10.69,5.27,7.77,8.11,90.05,461.29,40.96,39.32,39.18,24.42,54.99,92.4,12.47
10-Oct,11017.16,12.89,19.86,49.48,38.39,49.54,17.98,60.09,8.56,83.82,54.69,26.26,43.38,89.02,42.62,28.19,40.41,115.38,20.5,50.03,229.85,37.18,32.64,10.15,9.26,7.92,18.72,24.33,5.17,4.81,10.11,10.82,5.04,7.53,7.92,81.35,470.59,41.2,37.39,41.37,24.59,56.9,95.45,12.47
