Date,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明,萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
2010/01,-12.2058,-13.3081,-1.0402,2.9159,-0.1439,-1.5152,-9.1028,-6.6861,-3,-11.221,-4.7009,-4.651,0.3234,-7.09,-8.1895,-9.4709,-19.7247,-7.6031,-2.3529,-6.81,3.6415,-5.35,-6.7057,-5.246,-7.9404,-4.8346,-9.2127,-9.3876,-10.1123,-13.1915,-6.4865,1.9841,-12.2807,-9.8236,-3.4165,-0.9499,-11.8692,-15.8405,-0.8014,1.7036,-2.3057,10.6123,-5.2994
2010/02,-0.8376,4.0937,3.904,5.8332,4.6177,-0.9231,-6.2947,-3.7383,-3.6083,-5.5762,-1.3452,-4.3903,-8.7097,-4.3279,2.504,-0.1538,-9.3334,-7.9498,-4.8637,-2.8845,3.7837,-1.7391,1.5625,-2.076,7.8166,-5.0801,-4.6125,-1.6894,-0.8331,-10.7846,2.6013,-21.6417,-0.5716,-3.6314,2.585,-0.8392,-4.2419,-8.1946,-2.9077,-1.5464,0.8696,-7.0113,-1.805
2010/03,1.1825,1.5449,1.1562,2.0474,2.4829,2.0185,7.0228,9.0616,7.4866,8.2675,12.7271,4.5917,-2.2968,2.0238,-5.9543,4.4686,27.3108,9.394,3.8462,9.1089,-2.6043,5.3099,9.8461,1.7666,-2.7502,8.7327,2.5146,3.0927,7.9831,4.6703,3.6619,19.4445,3.4483,1.1595,5.0399,15.4777,9.6345,13.668,-0.4992,-0.5236,3.0787,-0.0001,11.0292
2010/04,-5.5091,-3.0429,-0.0001,2.1603,6.9985,1.9786,25.5351,-5.0446,3.9801,7.9999,21.7744,0.4877,10.3075,0,-3.7338,4.2773,-8.7459,1.3849,-0.9662,-3.0852,7.754,8.4033,9.5237,-1.736,-4.8844,-0.259,-4.717,-1.667,8.9493,-1.0499,0.0001,-5.4264,-1.1109,-0.573,13.6362,8.9005,9.596,16.6873,0.6689,0.658,-1.0751,4.7621,12.9141
2010/05,-3.3569,-5.278,-7.7142,-20.0906,-9.5595,-8.806,-11.3634,-5.625,-3.8276,-16.1617,-6.2913,-2.5888,-17.3771,-9.5683,-1.8549,-4.2433,-4.5206,-14.0712,0.6503,-2.06,-9.4294,1.5503,-9.2071,-9.5406,-2.9729,-4.675,-6.0396,-7.0055,-8.5713,-9.8143,-7.8803,-6.5574,-6.4606,-4.0347,1.6666,1.9228,-14.2855,0.3156,1.6607,0.2617,-6.1596,2.6515,-10.5571
2010/06,-0.1827,7.229,5.263,-2.2685,3.0599,-2.4551,0.1279,-4.967,2.9849,-8.4338,-7.4206,0.6646,6.4444,-8.2581,0.5154,3.4655,-4.3559,-8.4261,3.2312,-13.48,12.0547,25.5727,12.1126,15.2344,3.3425,-1.635,1.2645,5.3462,2.7343,2.0588,2.0649,9.649,6.6068,7.2073,3.9344,-2.6416,-6.3444,-0.629,7.353,3.52,0.2576,-2.9521,-1.1475
2010/07,16.2379,6.8819,4.0771,12.894,-0.0756,8.6072,7.452,2.439,10.7482,13.1579,9.1604,8.1269,0.8349,2.8129,5.378,3.9334,-14.2575,5.382,6.26,1.6275,16.3814,26.1396,8.5427,16.685,7.5471,8.8643,5.9665,6.1129,12.9279,8.4161,10.6941,14.3999,11.8225,5.602,10.41,18.6048,2.9236,12.4472,4.1627,12.3424,0.2948,3.3686,7.6379
2010/08,-1.1744,9.3346,6.1287,9.5745,2.1522,-0.1648,10.0125,-8.4506,9.9546,-0.4257,-12.2377,-5.609,-11.5943,-7.6947,-16.2066,5.6769,-15.4734,-8.896,2.6041,0.6921,-10.7141,-8.4338,-5.0927,7.6925,0.4053,4.8102,-3.9583,1.5814,1.8564,1.676,6.2936,1.6856,-0.5271,3.2494,16.7828,-3.9547,-9.7993,-2.5042,-0.3164,-0.7104,-3.3603,-21.374,1.038
2010/09,13.4129,9.4469,8.0282,10.6795,6.0395,6.6005,1.7063,6.5388,7.4073,3.9824,7.1712,5.2632,4.9179,14.0601,4.3209,13.223,15.5737,17.1789,6.8702,0.5728,4,5.5264,6.0974,14.8352,7.9788,2.9452,3.5792,3.3067,12.8918,4.3955,8.5272,6.8703,9.7494,11.8919,13.5021,2.9414,15.8377,8.0867,2.381,5.4218,11.9612,17.4755,8.904
2010/10,-2.3951,-1.8499,14.472,-0.2924,16.2918,-3.8699,-0.4475,5.0541,-3.0652,-1.2767,-2.974,1.2905,10.9374,0.5539,10.8483,1.7034,-13.2389,-5.7099,2.2857,-12.3006,15.3847,16.2095,3.4484,-3.3492,-0.4926,-2.4708,-1.8849,0.3311,-2.7777,1.3158,1.1904,-4.2857,-3.0457,-2.4154,-9.6652,2.017,0.5648,-4.9269,5.5811,0.6857,3.4782,3.306,-0.0002
2010/11,-2.6137,5.9046,3.3029,-0.44,2.8473,0.9662,-0.3371,3.7802,7.1144,-6.4657,1.5326,0.9552,6.0362,-1.7906,6.5835,-2.3924,-12.8183,-0.1639,3.352,1.4286,0.588,3.6481,0.8891,0.2476,-2.7228,-0.8,-1.7076,-3.0802,-0.6348,-3.1168,-4.7058,-0.373,-3.9266,0.9901,1.2344,11.3672,8.9888,6.718,0.2938,-2.3837,1.3202,-13.5998,0.629
2010/12,4.6252,2.6098,7.4972,7.069,8.7485,6.8581,0.5638,7.9473,5.1658,8.2948,9.4669,11.9873,5.1232,-2.3841,2.1702,1.1031,2.848,-0.6558,0.1352,6.9139,18.1287,16.9772,12.9958,27.9012,23.6641,7.527,12.2693,45.8565,28.1149,16.8901,10.8644,29.2134,16.6212,31.6178,9.3495,7.2486,-3.0926,2.1584,2.0497,-1.6279,17.18,0.4629,2.3438
2011/01,-4.4208,-7.7455,1.846,10.7288,7.9427,0.8956,-0.7849,11.043,-5.614,6.3831,6.2718,7.4648,-5.4151,-1.7242,0.4901,8.7273,13.5387,-4.4555,-0.9986,-5.1499,0.66,3.7169,-5.2631,-4.6333,-2.6748,1.5,4.4486,3.891,-0.9975,8.0273,5.1222,-2.029,15.8877,-0.5588,-7.8068,9.7933,2.7657,6.5142,-1.7215,2.837,-4.7522,0.9215,-1.0686
2011/02,-6.2201,-5.3884,0.2013,6.4596,-4.717,-0.8876,-2.0338,-14.9171,-8.1784,-12.8,-3.6066,-7.6016,2.6717,-14.9122,-5.5284,-8.8072,-14.0921,-7.0811,-1.2333,-15.6565,-14.0983,-14.3343,-16.4607,-11.5385,-11.2049,-7.5123,-12.2223,-14.6067,-8.3124,-14.0126,-9.1102,-9.1716,-6.4516,-9.5506,-0.4033,1.8846,-6.0043,-9.0909,-2.9197,-2.2988,-4.7771,-3.1962,-3.0866
2011/03,20.7482,6.755,4.0203,1.1666,10.3959,4.9254,-0.2309,-0.6492,-5.668,-5.5044,-2.381,0.1419,-5.3905,-9.2782,-4.475,11.2471,-3.1547,-4.4609,3.9727,1.1975,-6.6792,-8.3665,1.4777,8.0092,4.7619,3.9947,2.426,3.9474,1.6485,4.4444,7.9255,8.4692,7.7587,4.348,5.668,-1.8498,-4.6257,-9.0908,4.0601,3.5294,7.581,-17.2642,-1.911
2011/04,18.1687,2.2333,13.0437,1.2686,3.5878,0.7112,3.8152,-2.941,9.8713,5.3396,8.0138,3.6827,1.3753,7.9545,1.8021,4.1757,-5.5374,-10.7003,-0.546,-6.361,8.3844,5.4349,6.3105,5.932,4.0909,7.5544,-1.5449,1.2659,9.7297,-5.9103,7.9915,1.2011,5.0001,5.357,20.3065,14.1962,1.0394,-5.7001,6.792,-1.2502,4.1448,6.7276,2.1106
2011/05,-0.596,0.1215,-5.9831,-9.2254,-5.1948,-3.1072,5.6791,-0.3367,-10.9375,-7.3732,0.9677,4.7815,16.2791,12.8068,15.2212,-2.7428,-19.3102,2.6141,2.7442,1.1057,0.9436,2.8865,0.6849,-1.4,-1.5283,-0.3572,-2.4057,-2.5,3.9407,-0.7539,-2,2.0772,-2.857,-7.1561,4.4588,3.7405,12.0001,12.4072,4.736,2.4166,0.9949,23.3974,-3.8155
2011/06,2.6379,0.8484,-5.909,-3.8898,-2.2831,0.8746,13.8038,-3.7161,-7.456,-1.9902,-16.6134,-1.9128,-5,-13.8413,4.4546,5.8571,-30.7691,-16.7728,5.5555,-2.5002,-13.6449,-12.6252,-1.3608,-4.2595,-1.1086,5.4958,-3.3497,-0.4272,-3.3175,0.7597,2.4491,-0.872,-1.9609,-3.6511,1.2194,-2.439,-5.6122,-3.5849,5.8939,2.9213,-0.4928,-5.6276,-3.2947
2011/07,11.1794,13.7017,11.7182,10.4144,4.88,-3.2461,37.9453,-1.5836,1.5828,-7.0762,-10.3448,-0.2772,4.2247,-5.0539,4.4117,13.7382,-17.5308,-17.8959,6.5907,-11.4037,-14.5022,-15.5964,-6.8967,6.4737,1.794,6.4552,-0.8684,-0.0002,-2.206,3.5175,10.5578,-2.0058,6.8924,9.1574,11.1447,5.4348,-6.5952,0.3913,1.9281,9.6327,11.7006,-8.0861,-2.3679
2011/08,-15.0221,-1.0876,-16.9586,-13.3,-15.6938,4.6511,-3.1913,-12.7413,-16.6666,-10.9356,-20.7692,-3.6111,5.6035,-7.9369,-13.0364,-14.359,-21.2575,-12.3809,-0.1,12.7657,-5.823,-15.4892,-9.7815,-5.921,-4.6052,-5.6652,-14.3519,-13.5416,-6.4848,-9.9082,-2.4049,-14.9351,-8.8459,-6.6946,3.0867,-13.3007,-5.824,-13.8286,-0.8828,-2.6231,-22.0276,-1.3417,-6.7165
2011/09,-15.0969,-6.6666,-9.3228,-4.0521,-9.648,-5.0794,-5.4944,0.8851,-14.7058,-5.5935,-6.11,0.8647,-5.7144,14.6961,1.3629,-2.515,-25.8554,-9.7826,1.6015,15.7805,-2.6126,-8.1893,-11.0428,-17.9487,-8.4367,-22.2762,-4.8647,-2.4313,-10.9145,-8.8236,-16.7641,-9.1602,-17.6779,-11.2107,-6.216,-13.5103,-5.921,3.5756,-4.7074,-1.9397,-0.8276,-12.8662,0.1999
2011/10,15.0456,4.7616,8.9353,2.4134,9.9245,0.0002,2.3256,17.1053,-1.6555,20.3759,5.8072,5.143,-8.8744,-2.3122,0.6722,1.2285,-23.3334,5.6225,-0.9851,-5.7777,6.4101,4.6025,8.6206,11.3638,7.0461,11.0592,2.6991,4.2253,-0.3312,11.2904,9.3676,8.4034,9.6155,1.7678,-3.17,-5.021,4.1958,-9.0908,4.9481,8.6812,12.7531,6.0024,4.3913
