代號,名稱,年月日,CAPM_Beta 一月
1101,台泥,2010/01/29,1.2937
1216,統一,2010/01/29,0.9844
1301,台塑,2010/01/29,0.8842
1303,南亞,2010/01/29,0.6356
1326,台化,2010/01/29,0.4965
2002,中鋼,2010/01/29,0.8793
2207,和泰車,2010/01/29,0.6797
2303,聯電,2010/01/29,1.3191
2308,台達電,2010/01/29,0.7686
2317,鴻海,2010/01/29,1.0547
2327,國巨,2010/01/29,1.2125
2330,台積電,2010/01/29,0.4852
2357,華碩,2010/01/29,1.4788
2379,瑞昱,2010/01/29,1.4342
2382,廣達,2010/01/29,0.8493
2395,研華,2010/01/29,1.0167
2408,南亞科,2010/01/29,1.853
2409,友達,2010/01/29,1.3727
2412,中華電,2010/01/29,0.0728
2454,聯發科,2010/01/29,1.2607
2603,長榮,2010/01/29,1.2413
2609,陽明,2010/01/29,1.2299
2615,萬海,2010/01/29,1.3997
2801,彰銀,2010/01/29,0.6049
2880,華南金,2010/01/29,0.73
2881,富邦金,2010/01/29,0.9616
2882,國泰金,2010/01/29,0.9271
2883,開發金,2010/01/29,1.1471
2884,玉山金,2010/01/29,0.8112
2885,元大金,2010/01/29,1.1199
2886,兆豐金,2010/01/29,0.6714
2887,台新金,2010/01/29,0.2024
2891,中信金,2010/01/29,1.0006
2892,第一金,2010/01/29,0.6937
2912,統一超,2010/01/29,0.3691
3008,大立光,2010/01/29,1.0529
3034,聯詠,2010/01/29,1.4349
3037,欣興,2010/01/29,0.8431
3045,台灣大,2010/01/29,0.2666
4904,遠傳,2010/01/29,0.16
6505,台塑化,2010/01/29,0.5343
8046,南電,2010/01/29,1.0985
9910,豐泰,2010/01/29,0.6063
Y9997,報酬指數,2010/01/29,1
1101,台泥,2010/02/26,1.0152
1216,統一,2010/02/26,0.7794
1301,台塑,2010/02/26,0.4801
1303,南亞,2010/02/26,0.5681
1326,台化,2010/02/26,0.3841
2002,中鋼,2010/02/26,0.7576
2207,和泰車,2010/02/26,0.5815
2303,聯電,2010/02/26,1.2694
2308,台達電,2010/02/26,0.8558
2317,鴻海,2010/02/26,0.7502
2327,國巨,2010/02/26,0.9237
2330,台積電,2010/02/26,0.772
2357,華碩,2010/02/26,1.085
2379,瑞昱,2010/02/26,1.4002
2382,廣達,2010/02/26,0.8166
2395,研華,2010/02/26,0.9158
2408,南亞科,2010/02/26,1.7331
2409,友達,2010/02/26,1.2195
2412,中華電,2010/02/26,0.0257
2454,聯發科,2010/02/26,0.6778
2603,長榮,2010/02/26,0.8943
2609,陽明,2010/02/26,0.9913
2615,萬海,2010/02/26,0.7861
2801,彰銀,2010/02/26,0.9425
2880,華南金,2010/02/26,0.995
2881,富邦金,2010/02/26,1.1901
2882,國泰金,2010/02/26,1.2316
2883,開發金,2010/02/26,1.2091
2884,玉山金,2010/02/26,1.3435
2885,元大金,2010/02/26,1.3714
2886,兆豐金,2010/02/26,0.9013
2887,台新金,2010/02/26,0.7576
2891,中信金,2010/02/26,1.3272
2892,第一金,2010/02/26,1.0611
2912,統一超,2010/02/26,0.3783
3008,大立光,2010/02/26,0.9295
3034,聯詠,2010/02/26,1.5175
3037,欣興,2010/02/26,1.6956
3045,台灣大,2010/02/26,0.0834
4904,遠傳,2010/02/26,0.4204
6505,台塑化,2010/02/26,0.4224
8046,南電,2010/02/26,0.6635
9910,豐泰,2010/02/26,0.6526
Y9997,報酬指數,2010/02/26,1
1101,台泥,2010/03/31,0.6245
1216,統一,2010/03/31,1.3109
1301,台塑,2010/03/31,0.2208
1303,南亞,2010/03/31,0.7575
1326,台化,2010/03/31,0.6634
2002,中鋼,2010/03/31,0.8706
2207,和泰車,2010/03/31,0.3621
2303,聯電,2010/03/31,1.1501
2308,台達電,2010/03/31,0.2986
2317,鴻海,2010/03/31,1.2872
2327,國巨,2010/03/31,0.5517
2330,台積電,2010/03/31,0.9505
2357,華碩,2010/03/31,1.1876
2379,瑞昱,2010/03/31,0.8262
2382,廣達,2010/03/31,0.5706
2395,研華,2010/03/31,1.2331
2408,南亞科,2010/03/31,1.9966
2409,友達,2010/03/31,1.3979
2412,中華電,2010/03/31,0.6611
2454,聯發科,2010/03/31,1.2784
2603,長榮,2010/03/31,0.634
2609,陽明,2010/03/31,0.72
2615,萬海,2010/03/31,0.5534
2801,彰銀,2010/03/31,0.9129
2880,華南金,2010/03/31,0.8681
2881,富邦金,2010/03/31,0.8116
2882,國泰金,2010/03/31,1.5781
2883,開發金,2010/03/31,1.2979
2884,玉山金,2010/03/31,0.8639
2885,元大金,2010/03/31,2.1072
2886,兆豐金,2010/03/31,1.156
2887,台新金,2010/03/31,1.6489
2891,中信金,2010/03/31,1.6608
2892,第一金,2010/03/31,1.2188
2912,統一超,2010/03/31,0.2595
3008,大立光,2010/03/31,0.0859
3034,聯詠,2010/03/31,1.8044
3037,欣興,2010/03/31,1.9205
3045,台灣大,2010/03/31,0.2842
4904,遠傳,2010/03/31,0.0856
6505,台塑化,2010/03/31,1.1323
8046,南電,2010/03/31,1.5027
9910,豐泰,2010/03/31,-0.1668
Y9997,報酬指數,2010/03/31,1
1101,台泥,2010/04/30,1.0247
1216,統一,2010/04/30,0.962
1301,台塑,2010/04/30,0.7613
1303,南亞,2010/04/30,1.3622
1326,台化,2010/04/30,0.5889
2002,中鋼,2010/04/30,0.7014
2207,和泰車,2010/04/30,0.3523
2303,聯電,2010/04/30,1.0136
2308,台達電,2010/04/30,0.4496
2317,鴻海,2010/04/30,1.1903
2327,國巨,2010/04/30,1.3543
2330,台積電,2010/04/30,0.7935
2357,華碩,2010/04/30,0.9963
2379,瑞昱,2010/04/30,1.0341
2382,廣達,2010/04/30,0.825
2395,研華,2010/04/30,0.4671
2408,南亞科,2010/04/30,1.5753
2409,友達,2010/04/30,0.9785
2412,中華電,2010/04/30,0.1204
2454,聯發科,2010/04/30,1.4319
2603,長榮,2010/04/30,0.7026
2609,陽明,2010/04/30,0.8938
2615,萬海,2010/04/30,1.5394
2801,彰銀,2010/04/30,0.7797
2880,華南金,2010/04/30,1.2647
2881,富邦金,2010/04/30,1.0735
2882,國泰金,2010/04/30,1.3156
2883,開發金,2010/04/30,1.0595
2884,玉山金,2010/04/30,0.9859
2885,元大金,2010/04/30,1.4333
2886,兆豐金,2010/04/30,0.7977
2887,台新金,2010/04/30,1.0515
2891,中信金,2010/04/30,1.0907
2892,第一金,2010/04/30,1.1325
2912,統一超,2010/04/30,0.3051
3008,大立光,2010/04/30,0.2501
3034,聯詠,2010/04/30,1.4647
3037,欣興,2010/04/30,0.8928
3045,台灣大,2010/04/30,0.1563
4904,遠傳,2010/04/30,0.1847
6505,台塑化,2010/04/30,0.7134
8046,南電,2010/04/30,1.2201
9910,豐泰,2010/04/30,1.4379
Y9997,報酬指數,2010/04/30,1
1101,台泥,2010/05/31,1.4881
1216,統一,2010/05/31,0.8047
1301,台塑,2010/05/31,0.6587
1303,南亞,2010/05/31,0.9963
1326,台化,2010/05/31,0.8204
2002,中鋼,2010/05/31,0.711
2207,和泰車,2010/05/31,0.8958
2303,聯電,2010/05/31,1.2485
2308,台達電,2010/05/31,0.4674
2317,鴻海,2010/05/31,1.0286
2327,國巨,2010/05/31,1.7836
2330,台積電,2010/05/31,0.5778
2357,華碩,2010/05/31,0.4764
2379,瑞昱,2010/05/31,1.3256
2382,廣達,2010/05/31,1.0646
2395,研華,2010/05/31,0.7527
2408,南亞科,2010/05/31,1.3389
2409,友達,2010/05/31,1.273
2412,中華電,2010/05/31,0.1881
2454,聯發科,2010/05/31,0.7202
2603,長榮,2010/05/31,0.9433
